YEAR,MO,DY,temperature,humidity,precipitation
1981,1,1,23.81,12.49,0.0
1981,1,2,24.07,10.47,0.0
1981,1,3,24.04,10.82,0.0
1981,1,4,24.16,13.34,0.53
1981,1,5,22.81,11.82,0.08
1981,1,6,22.89,10.41,0.14
1981,1,7,23.67,10.09,0.01
1981,1,8,23.4,10.71,0.08
1981,1,9,23.33,10.91,0.14
1981,1,10,24.1,11.8,0.55
1981,1,11,24.94,14.05,0.17
1981,1,12,24.33,14.64,0.22
1981,1,13,24.13,13.81,0.07
1981,1,14,25.83,16.38,0.55
1981,1,15,26.17,15.77,0.13
1981,1,16,24.95,13.34,0.0
1981,1,17,23.87,9.94,0.0
1981,1,18,25.46,11.29,0.0
1981,1,19,25.26,11.37,0.0
1981,1,20,24.84,10.84,0.0
1981,1,21,25.07,12.97,0.0
1981,1,22,24.93,11.8,0.0
1981,1,23,24.51,11.41,0.0
1981,1,24,23.17,7.62,0.0
1981,1,25,23.59,8.55,0.0
1981,1,26,24.12,13.15,6.96
1981,1,27,24.52,13.71,0.07
1981,1,28,22.91,9.55,0.0
1981,1,29,22.42,10.27,0.0
1981,1,30,24.35,13.56,0.0
1981,1,31,25.36,15.55,0.0
1981,2,1,25.42,13.91,0.0
1981,2,2,24.7,10.3,0.0
1981,2,3,24.35,10.86,0.0
1981,2,4,25.15,13.96,0.0
1981,2,5,25.57,14.22,0.03
1981,2,6,25.84,15.08,0.05
1981,2,7,26.1,16.1,0.05
1981,2,8,26.31,15.59,0.05
1981,2,9,25.31,15.18,0.03
1981,2,10,23.53,10.8,0.0
1981,2,11,23.86,9.06,0.0
1981,2,12,25.15,12.31,0.0
1981,2,13,25.83,14.89,0.01
1981,2,14,26.8,14.61,0.02
1981,2,15,26.9,14.82,0.0
1981,2,16,26.73,15.79,0.01
1981,2,17,27.4,15.72,0.01
1981,2,18,27.34,16.62,0.01
1981,2,19,27.4,16.51,0.02
1981,2,20,27.03,17.05,0.0
1981,2,21,27.56,16.81,0.0
1981,2,22,27.17,16.41,0.0
1981,2,23,26.81,15.88,0.0
1981,2,24,26.86,16.14,0.0
1981,2,25,27.2,16.1,0.0
1981,2,26,26.73,16.68,0.0
1981,2,27,27.05,16.95,0.0
1981,2,28,27.35,16.88,0.0
1981,3,1,27.6,16.52,0.0
1981,3,2,27.4,17.12,1.0
1981,3,3,27.64,17.58,1.08
1981,3,4,27.22,17.41,1.27
1981,3,5,27.51,17.16,0.62
1981,3,6,27.76,16.71,0.59
1981,3,7,28.18,16.16,0.39
1981,3,8,27.72,17.05,0.85
1981,3,9,27.24,17.39,1.07
1981,3,10,26.89,17.03,0.7
1981,3,11,26.21,16.3,0.73
1981,3,12,26.12,13.93,0.5
1981,3,13,25.79,15.7,1.72
1981,3,14,26.06,15.59,1.01
1981,3,15,25.34,15.75,1.54
1981,3,16,27.11,16.01,2.3
1981,3,17,26.84,17.19,4.76
1981,3,18,26.37,16.46,3.59
1981,3,19,26.14,17.22,4.74
1981,3,20,26.67,17.16,3.6
1981,3,21,26.53,16.88,3.01
1981,3,22,27.22,16.87,8.73
1981,3,23,25.78,15.91,7.25
1981,3,24,26.49,16.36,6.35
1981,3,25,26.05,17.74,4.7
1981,3,26,26.19,17.38,5.92
1981,3,27,25.1,16.76,5.89
1981,3,28,24.69,15.19,4.7
1981,3,29,26.11,16.22,1.17
1981,3,30,26.31,16.35,2.15
