YEAR,MO,DY,temperature,humidity,precipitation
1981,1,1,12.49,23.81,0.0
1981,1,2,10.47,24.07,0.0
1981,1,3,10.82,24.04,0.0
1981,1,4,13.34,24.16,0.53
1981,1,5,11.82,22.81,0.08
1981,1,6,10.41,22.89,0.14
1981,1,7,10.09,23.67,0.01
1981,1,8,10.71,23.4,0.08
1981,1,9,10.91,23.33,0.14
1981,1,10,11.8,24.1,0.55
1981,1,11,14.05,24.94,0.17
1981,1,12,14.64,24.33,0.22
1981,1,13,13.81,24.13,0.07
1981,1,14,16.38,25.83,0.55
1981,1,15,15.77,26.17,0.13
1981,1,16,13.34,24.95,0.0
1981,1,17,9.94,23.87,0.0
1981,1,18,11.29,25.46,0.0
1981,1,19,11.37,25.26,0.0
1981,1,20,10.84,24.84,0.0
1981,1,21,12.97,25.07,0.0
1981,1,22,11.8,24.93,0.0
1981,1,23,11.41,24.51,0.0
1981,1,24,7.62,23.17,0.0
1981,1,25,8.55,23.59,0.0
1981,1,26,13.15,24.12,6.96
1981,1,27,13.71,24.52,0.07
1981,1,28,9.55,22.91,0.0
1981,1,29,10.27,22.42,0.0
1981,1,30,13.56,24.35,0.0
1981,1,31,15.55,25.36,0.0
1981,2,1,13.91,25.42,0.0
1981,2,2,10.3,24.7,0.0
1981,2,3,10.86,24.35,0.0
1981,2,4,13.96,25.15,0.0
1981,2,5,14.22,25.57,0.03
1981,2,6,15.08,25.84,0.05
1981,2,7,16.1,26.1,0.05
1981,2,8,15.59,26.31,0.05
1981,2,9,15.18,25.31,0.03
1981,2,10,10.8,23.53,0.0
1981,2,11,9.06,23.86,0.0
1981,2,12,12.31,25.15,0.0
1981,2,13,14.89,25.83,0.01
1981,2,14,14.61,26.8,0.02
1981,2,15,14.82,26.9,0.0
1981,2,16,15.79,26.73,0.01
1981,2,17,15.72,27.4,0.01
1981,2,18,16.62,27.34,0.01
1981,2,19,16.51,27.4,0.02
1981,2,20,17.05,27.03,0.0
1981,2,21,16.81,27.56,0.0
1981,2,22,16.41,27.17,0.0
1981,2,23,15.88,26.81,0.0
1981,2,24,16.14,26.86,0.0
1981,2,25,16.1,27.2,0.0
1981,2,26,16.68,26.73,0.0
1981,2,27,16.95,27.05,0.0
1981,2,28,16.88,27.35,0.0
1981,3,1,16.52,27.6,0.0
1981,3,2,17.12,27.4,1.0
1981,3,3,17.58,27.64,1.08
1981,3,4,17.41,27.22,1.27
1981,3,5,17.16,27.51,0.62
1981,3,6,16.71,27.76,0.59
1981,3,7,16.16,28.18,0.39
1981,3,8,17.05,27.72,0.85
1981,3,9,17.39,27.24,1.07
1981,3,10,17.03,26.89,0.7
1981,3,11,16.3,26.21,0.73
1981,3,12,13.93,26.12,0.5
1981,3,13,15.7,25.79,1.72
1981,3,14,15.59,26.06,1.01
1981,3,15,15.75,25.34,1.54
1981,3,16,16.01,27.11,2.3
1981,3,17,17.19,26.84,4.76
1981,3,18,16.46,26.37,3.59
1981,3,19,17.22,26.14,4.74
1981,3,20,17.16,26.67,3.6
1981,3,21,16.88,26.53,3.01
1981,3,22,16.87,27.22,8.73
1981,3,23,15.91,25.78,7.25
1981,3,24,16.36,26.49,6.35
1981,3,25,17.74,26.05,4.7
1981,3,26,17.38,26.19,5.92
1981,3,27,16.76,25.1,5.89
1981,3,28,15.19,24.69,4.7
1981,3,29,16.22,26.11,1.17
1981,3,30,16.35,26.31,2.15
1981,3,31,16.64,26.36,1.89
1981,4,1,17.22,26.35,6.81
1981,4,2,16.67,26.47,3.38
1981,4,3,17.01,26.63,5.59
1981,4,4,17.22,26.11,4.79
1981,4,5,17.01,26.12,10.89
1981,4,6,16.71,25.89,1.12
1981,4,7,17.17,26.57,1.0
1981,4,8,18.24,27.13,2.46
1981,4,9,18.39,27.44,2.45
1981,4,10,18.39,27.08,1.44
1981,4,11,17.83,27.28,0.0
1981,4,12,17.31,27.38,0.0
1981,4,13,17.1,27.81,0.0
1981,4,14,17.47,27.9,0.0
1981,4,15,17.68,28.23,0.0
1981,4,16,17.87,27.55,15.1
1981,4,17,18.61,27.44,7.54
1981,4,18,18.7,26.49,10.21
1981,4,19,18.7,26.35,8.63
1981,4,20,17.73,27.16,1.71
1981,4,21,18.37,26.0,14.07
1981,4,22,17.74,25.66,19.24
1981,4,23,16.67,25.98,6.04
1981,4,24,17.37,26.75,3.46
1981,4,25,18.0,27.36,2.38
1981,4,26,17.45,25.53,1.65
1981,4,27,16.73,26.15,2.27
1981,4,28,17.36,26.25,1.68
1981,4,29,17.53,26.44,1.56
1981,4,30,18.22,26.47,3.13
1981,5,1,18.16,25.68,13.32
1981,5,2,17.71,25.19,12.34
1981,5,3,17.35,26.05,8.18
1981,5,4,17.59,25.24,12.18
1981,5,5,16.72,24.55,6.87
1981,5,6,16.54,25.55,1.59
1981,5,7,17.0,25.19,1.23
1981,5,8,17.0,24.88,2.17
1981,5,9,17.02,26.02,0.29
1981,5,10,17.53,25.18,1.79
1981,5,11,16.96,24.65,1.59
1981,5,12,17.54,25.71,4.46
1981,5,13,17.72,25.52,2.93
1981,5,14,17.08,24.98,0.23
1981,5,15,16.71,25.51,0.26
1981,5,16,17.32,26.28,0.24
1981,5,17,17.71,26.5,0.4
1981,5,18,17.78,25.87,0.21
1981,5,19,17.13,26.71,0.22
1981,5,20,18.2,26.93,0.64
1981,5,21,18.82,26.48,4.09
1981,5,22,17.95,26.11,4.72
1981,5,23,17.43,26.39,0.99
1981,5,24,17.73,25.89,2.0
1981,5,25,17.73,26.04,4.09
1981,5,26,17.91,25.63,10.0
1981,5,27,18.16,25.85,9.92
1981,5,28,17.78,25.25,3.72
1981,5,29,17.19,25.91,1.67
1981,5,30,17.61,25.6,3.09
1981,5,31,17.56,25.97,5.25
1981,6,1,17.64,26.03,5.84
1981,6,2,16.69,25.52,0.67
1981,6,3,15.88,25.36,1.4
1981,6,4,17.17,25.0,1.43
