YEAR,MO,DY,temperature,humidity,precipitation
1981,1,1,24.85,14.96,0.0
1981,1,2,25.36,14.69,0.01
1981,1,3,25.37,14.07,0.01
1981,1,4,25.47,16.1,0.19
1981,1,5,25.14,14.52,0.04
1981,1,6,24.22,12.65,0.62
1981,1,7,24.9,14.05,0.23
1981,1,8,24.99,13.51,0.24
1981,1,9,25.19,14.35,0.56
1981,1,10,25.56,15.62,1.72
1981,1,11,25.62,16.3,1.19
1981,1,12,25.41,16.96,1.13
1981,1,13,25.79,16.55,0.37
1981,1,14,26.19,17.29,0.75
1981,1,15,26.24,17.03,0.57
1981,1,16,26.27,15.95,0.0
1981,1,17,25.75,14.08,0.0
1981,1,18,26.55,15.3,0.0
1981,1,19,26.42,13.8,0.0
1981,1,20,26.45,14.96,0.0
1981,1,21,26.53,15.92,0.0
1981,1,22,26.33,16.28,0.0
1981,1,23,25.81,14.3,0.0
1981,1,24,24.83,8.56,0.0
1981,1,25,24.71,9.87,0.0
1981,1,26,24.89,15.61,2.91
1981,1,27,25.21,15.53,1.06
1981,1,28,25.71,12.5,0.05
1981,1,29,24.37,12.42,0.0
1981,1,30,25.67,15.48,0.01
1981,1,31,26.14,15.98,0.0
1981,2,1,26.52,15.65,0.0
1981,2,2,26.63,14.1,0.0
1981,2,3,26.38,14.69,0.0
1981,2,4,26.7,15.5,0.0
1981,2,5,27.05,15.7,0.17
1981,2,6,27.23,16.18,0.18
1981,2,7,27.36,16.4,0.38
1981,2,8,27.38,16.31,0.36
1981,2,9,27.11,16.25,0.44
1981,2,10,26.49,14.56,0.27
1981,2,11,26.1,13.15,0.02
1981,2,12,26.83,14.44,0.06
1981,2,13,27.39,15.53,0.1
1981,2,14,27.99,15.59,0.25
1981,2,15,28.38,15.86,0.03
1981,2,16,28.28,16.26,0.02
1981,2,17,28.74,16.35,0.02
1981,2,18,28.52,16.66,0.01
1981,2,19,28.37,16.83,0.03
1981,2,20,27.95,17.2,0.0
1981,2,21,27.83,17.23,0.0
1981,2,22,28.15,17.12,0.0
1981,2,23,28.01,16.61,0.0
1981,2,24,27.32,15.95,0.0
1981,2,25,28.36,15.87,0.0
1981,2,26,28.06,17.1,0.0
1981,2,27,28.61,17.15,0.0
1981,2,28,28.88,17.12,0.0
1981,3,1,28.97,16.91,0.0
1981,3,2,28.67,17.44,0.19
1981,3,3,28.79,17.44,0.19
1981,3,4,28.71,17.17,0.27
1981,3,5,28.88,16.54,0.08
1981,3,6,29.26,16.11,0.12
1981,3,7,29.61,16.23,0.59
1981,3,8,29.1,16.9,1.19
1981,3,9,28.92,17.03,1.5
1981,3,10,29.05,16.6,0.84
1981,3,11,27.98,16.57,0.89
1981,3,12,27.66,16.11,2.65
1981,3,13,27.0,16.31,4.33
1981,3,14,27.51,15.35,1.79
1981,3,15,26.3,16.38,3.76
1981,3,16,27.6,16.37,4.97
1981,3,17,26.44,17.63,1.29
1981,3,18,27.3,16.7,1.46
1981,3,19,27.11,16.84,1.53
1981,3,20,27.92,16.58,1.23
1981,3,21,28.0,16.77,1.26
1981,3,22,27.94,17.27,8.98
1981,3,23,27.22,15.53,6.22
1981,3,24,27.51,16.18,5.37
1981,3,25,27.38,17.22,2.94
1981,3,26,27.59,16.82,2.45
1981,3,27,26.02,16.81,6.65
1981,3,28,25.54,15.08,4.41
1981,3,29,27.07,16.04,2.0
1981,3,30,27.65,15.97,2.77
1981,3,31,27.31,16.91,3.6
1981,4,1,27.01,17.15,3.73
1981,4,2,27.92,16.59,2.1
1981,4,3,27.82,16.55,1.99
1981,4,4,28.01,16.63,1.86
1981,4,5,26.55,17.23,7.91
1981,4,6,26.32,17.02,1.57
1981,4,7,27.58,17.28,1.21
1981,4,8,28.19,17.98,3.41
1981,4,9,28.47,18.29,2.49
1981,4,10,27.92,18.27,1.71
1981,4,11,28.79,17.62,0.0
1981,4,12,28.83,17.14,0.0
1981,4,13,29.22,17.18,0.0
1981,4,14,29.36,17.44,0.0
1981,4,15,29.54,17.26,0.0
1981,4,16,28.7,17.41,7.49
1981,4,17,28.84,17.94,3.64
1981,4,18,28.66,18.33,6.63
1981,4,19,26.75,18.98,13.46
1981,4,20,27.93,17.38,2.28
1981,4,21,26.96,18.3,4.59
1981,4,22,26.37,17.36,5.34
1981,4,23,26.75,16.32,2.77
1981,4,24,27.93,16.61,0.92
1981,4,25,28.49,17.23,1.4
1981,4,26,26.97,16.49,1.35
1981,4,27,27.39,16.74,2.34
1981,4,28,27.57,16.74,2.06
1981,4,29,27.91,16.81,0.94
1981,4,30,27.68,17.62,1.42
1981,5,1,26.32,18.2,10.44
1981,5,2,25.77,17.48,10.45
1981,5,3,26.69,16.89,7.38
1981,5,4,25.54,17.21,12.54
1981,5,5,24.66,16.77,6.86
1981,5,6,26.36,16.67,3.73
1981,5,7,25.63,16.85,3.77
1981,5,8,25.35,16.77,6.2
1981,5,9,26.51,16.41,0.91
1981,5,10,25.93,17.37,3.31
1981,5,11,25.16,16.49,1.21
1981,5,12,26.73,16.9,1.9
1981,5,13,26.76,16.98,3.44
1981,5,14,25.88,16.59,0.28
1981,5,15,26.83,16.52,0.34
1981,5,16,27.5,17.14,0.22
1981,5,17,27.87,17.39,0.32
1981,5,18,26.63,17.78,0.23
1981,5,19,27.99,16.74,0.37
1981,5,20,28.04,17.35,0.34
1981,5,21,26.99,18.13,2.43
1981,5,22,26.57,18.24,2.78
1981,5,23,26.95,17.26,2.03
1981,5,24,27.11,17.27,1.47
1981,5,25,27.09,17.69,3.82
1981,5,26,26.15,18.35,20.97
1981,5,27,25.64,18.5,14.85
1981,5,28,25.09,17.59,26.68
1981,5,29,25.61,17.29,7.52
1981,5,30,25.68,18.25,7.65
1981,5,31,26.07,18.22,9.58
1981,6,1,26.0,17.87,3.88
1981,6,2,25.28,16.63,0.65
1981,6,3,25.68,16.96,1.28
